agent,lr,epsilon,poltype,num_recall,seed
qparsr_nosweep,0.1,0.1,egreedy,10,3
qparsr_nosweep,0.1,0.1,egreedy,10,4
qparsr_nosweep,0.1,0.1,egreedy,10,5
qparsr_nosweep,0.1,0.1,egreedy,10,6
qparsr_nosweep,0.1,0.1,egreedy,10,7
qparsr_nosweep,0.1,0.1,egreedy,10,8
qparsr_nosweep,0.1,0.1,egreedy,10,9
qparsr_nosweep,0.1,0.1,egreedy,30,0
qparsr_nosweep,0.1,0.1,egreedy,30,1
qparsr_nosweep,0.1,0.1,egreedy,30,2
qparsr_nosweep,0.1,0.1,egreedy,30,3
qparsr_nosweep,0.1,0.1,egreedy,30,4
qparsr_nosweep,0.1,0.1,egreedy,30,5
qparsr_nosweep,0.1,0.1,egreedy,30,6
qparsr_nosweep,0.1,0.1,egreedy,30,7
qparsr_nosweep,0.1,0.1,egreedy,30,8
qparsr_nosweep,0.1,0.1,egreedy,30,9
qparsr_nosweep,0.1,0.1,egreedy,100,0
qparsr_nosweep,0.1,0.1,egreedy,100,1
qparsr_nosweep,0.1,0.1,egreedy,100,2
qparsr_nosweep,0.1,0.1,egreedy,100,3
qparsr_nosweep,0.1,0.1,egreedy,100,4
qparsr_nosweep,0.1,0.1,egreedy,100,5
qparsr_nosweep,0.1,0.1,egreedy,100,6
qparsr_nosweep,0.1,0.1,egreedy,100,7
qparsr_nosweep,0.1,0.1,egreedy,100,8
qparsr_nosweep,0.1,0.1,egreedy,100,9
qparsr_nosweep,0.1,0.3,egreedy,10,0
qparsr_nosweep,0.1,0.3,egreedy,10,1
qparsr_nosweep,0.1,0.3,egreedy,10,2
qparsr_nosweep,0.1,0.3,egreedy,10,3
qparsr_nosweep,0.1,0.3,egreedy,10,4
qparsr_nosweep,0.1,0.3,egreedy,10,5
qparsr_nosweep,0.1,0.3,egreedy,10,6
qparsr_nosweep,0.1,0.3,egreedy,10,7
qparsr_nosweep,0.1,0.3,egreedy,10,8
qparsr_nosweep,0.1,0.3,egreedy,10,9
qparsr_nosweep,0.1,0.3,egreedy,30,0
qparsr_nosweep,0.1,0.3,egreedy,30,1
qparsr_nosweep,0.1,0.3,egreedy,30,2
qparsr_nosweep,0.1,0.3,egreedy,30,3
qparsr_nosweep,0.1,0.3,egreedy,30,4
qparsr_nosweep,0.1,0.3,egreedy,30,5
qparsr_nosweep,0.1,0.3,egreedy,30,6
qparsr_nosweep,0.1,0.3,egreedy,30,7
qparsr_nosweep,0.1,0.3,egreedy,30,8
qparsr_nosweep,0.1,0.3,egreedy,30,9
qparsr_nosweep,0.1,0.3,egreedy,100,0
qparsr_nosweep,0.1,0.3,egreedy,100,1
qparsr_nosweep,0.1,0.3,egreedy,100,2
qparsr_nosweep,0.1,0.3,egreedy,100,3
qparsr_nosweep,0.1,0.3,egreedy,100,4
qparsr_nosweep,0.1,0.3,egreedy,100,5
qparsr_nosweep,0.1,0.3,egreedy,100,6
qparsr_nosweep,0.1,0.3,egreedy,100,7
qparsr_nosweep,0.1,0.3,egreedy,100,8
qparsr_nosweep,0.1,0.3,egreedy,100,9
qparsr_nosweep,0.1,0.5,egreedy,10,0
qparsr_nosweep,0.1,0.5,egreedy,10,1
qparsr_nosweep,0.1,0.5,egreedy,10,2
qparsr_nosweep,0.1,0.5,egreedy,10,3
qparsr_nosweep,0.1,0.5,egreedy,10,4
qparsr_nosweep,0.1,0.5,egreedy,10,5
qparsr_nosweep,0.1,0.5,egreedy,10,6
qparsr_nosweep,0.1,0.5,egreedy,10,7
qparsr_nosweep,0.1,0.5,egreedy,10,8
qparsr_nosweep,0.1,0.5,egreedy,10,9
qparsr_nosweep,0.1,0.5,egreedy,30,0
qparsr_nosweep,0.1,0.5,egreedy,30,1
qparsr_nosweep,0.1,0.5,egreedy,30,2
qparsr_nosweep,0.1,0.5,egreedy,30,3
qparsr_nosweep,0.1,0.5,egreedy,30,4
qparsr_nosweep,0.1,0.5,egreedy,30,5
qparsr_nosweep,0.1,0.5,egreedy,30,6
qparsr_nosweep,0.1,0.5,egreedy,30,7
qparsr_nosweep,0.1,0.5,egreedy,30,8
qparsr_nosweep,0.1,0.5,egreedy,30,9
qparsr_nosweep,0.1,0.5,egreedy,100,0
qparsr_nosweep,0.1,0.5,egreedy,100,1
qparsr_nosweep,0.1,0.5,egreedy,100,2
qparsr_nosweep,0.1,0.5,egreedy,100,3
qparsr_nosweep,0.1,0.5,egreedy,100,4
qparsr_nosweep,0.1,0.5,egreedy,100,5
qparsr_nosweep,0.1,0.5,egreedy,100,6
qparsr_nosweep,0.1,0.5,egreedy,100,7
qparsr_nosweep,0.1,0.5,egreedy,100,8
qparsr_nosweep,0.1,0.5,egreedy,100,9
qparsr_nosweep,0.1,1.0,egreedy,10,0
qparsr_nosweep,0.1,1.0,egreedy,10,1
qparsr_nosweep,0.1,1.0,egreedy,10,2
qparsr_nosweep,0.1,1.0,egreedy,10,3
qparsr_nosweep,0.1,1.0,egreedy,10,4
qparsr_nosweep,0.1,1.0,egreedy,10,5
qparsr_nosweep,0.1,1.0,egreedy,10,6
qparsr_nosweep,0.1,1.0,egreedy,10,7
qparsr_nosweep,0.1,1.0,egreedy,10,8
qparsr_nosweep,0.1,1.0,egreedy,10,9
qparsr_nosweep,0.1,1.0,egreedy,30,0
qparsr_nosweep,0.1,1.0,egreedy,30,1
qparsr_nosweep,0.1,1.0,egreedy,30,2
qparsr_nosweep,0.1,1.0,egreedy,30,3
qparsr_nosweep,0.1,1.0,egreedy,30,4
qparsr_nosweep,0.1,1.0,egreedy,30,5
qparsr_nosweep,0.1,1.0,egreedy,30,6
qparsr_nosweep,0.1,1.0,egreedy,30,7
qparsr_nosweep,0.1,1.0,egreedy,30,8
qparsr_nosweep,0.1,1.0,egreedy,30,9
qparsr_nosweep,0.1,1.0,egreedy,100,0
qparsr_nosweep,0.1,1.0,egreedy,100,1
qparsr_nosweep,0.1,1.0,egreedy,100,2
qparsr_nosweep,0.1,1.0,egreedy,100,3
qparsr_nosweep,0.1,1.0,egreedy,100,4
qparsr_nosweep,0.1,1.0,egreedy,100,5
qparsr_nosweep,0.1,1.0,egreedy,100,6
qparsr_nosweep,0.1,1.0,egreedy,100,7
qparsr_nosweep,0.1,1.0,egreedy,100,8
qparsr_nosweep,0.1,1.0,egreedy,100,9
