,agent,lr,num_recall,seed
280,qparsr,0.1,3000,0
281,qparsr,0.1,3000,1
282,qparsr,0.1,3000,2
283,qparsr,0.1,3000,3
284,qparsr,0.1,3000,4
285,qparsr,0.1,3000,5
286,qparsr,0.1,3000,6
287,qparsr,0.1,3000,7
288,qparsr,0.1,3000,8
289,qparsr,0.1,3000,9
290,qparsr,0.1,10000,0
291,qparsr,0.1,10000,1
292,qparsr,0.1,10000,2
293,qparsr,0.1,10000,3
294,qparsr,0.1,10000,4
295,qparsr,0.1,10000,5
296,qparsr,0.1,10000,6
297,qparsr,0.1,10000,7
298,qparsr,0.1,10000,8
299,qparsr,0.1,10000,9
300,qparsr,0.3,100,0
301,qparsr,0.3,100,1
302,qparsr,0.3,100,2
303,qparsr,0.3,100,3
304,qparsr,0.3,100,4
305,qparsr,0.3,100,5
306,qparsr,0.3,100,6
307,qparsr,0.3,100,7
308,qparsr,0.3,100,8
309,qparsr,0.3,100,9
310,qparsr,0.3,300,0
311,qparsr,0.3,300,1
312,qparsr,0.3,300,2
313,qparsr,0.3,300,3
314,qparsr,0.3,300,4
315,qparsr,0.3,300,5
316,qparsr,0.3,300,6
317,qparsr,0.3,300,7
318,qparsr,0.3,300,8
319,qparsr,0.3,300,9
320,qparsr,0.3,1000,0
321,qparsr,0.3,1000,1
322,qparsr,0.3,1000,2
323,qparsr,0.3,1000,3
324,qparsr,0.3,1000,4
325,qparsr,0.3,1000,5
326,qparsr,0.3,1000,6
327,qparsr,0.3,1000,7
328,qparsr,0.3,1000,8
329,qparsr,0.3,1000,9
330,qparsr,0.3,3000,0
331,qparsr,0.3,3000,1
332,qparsr,0.3,3000,2
333,qparsr,0.3,3000,3
334,qparsr,0.3,3000,4
335,qparsr,0.3,3000,5
336,qparsr,0.3,3000,6
337,qparsr,0.3,3000,7
338,qparsr,0.3,3000,8
339,qparsr,0.3,3000,9
340,qparsr,0.3,10000,0
341,qparsr,0.3,10000,1
342,qparsr,0.3,10000,2
343,qparsr,0.3,10000,3
344,qparsr,0.3,10000,4
345,qparsr,0.3,10000,5
346,qparsr,0.3,10000,6
347,qparsr,0.3,10000,7
348,qparsr,0.3,10000,8
349,qparsr,0.3,10000,9
350,qparsr,0.5,100,0
351,qparsr,0.5,100,1
352,qparsr,0.5,100,2
353,qparsr,0.5,100,3
354,qparsr,0.5,100,4
355,qparsr,0.5,100,5
356,qparsr,0.5,100,6
357,qparsr,0.5,100,7
358,qparsr,0.5,100,8
359,qparsr,0.5,100,9
360,qparsr,0.5,300,0
361,qparsr,0.5,300,1
362,qparsr,0.5,300,2
363,qparsr,0.5,300,3
364,qparsr,0.5,300,4
365,qparsr,0.5,300,5
366,qparsr,0.5,300,6
367,qparsr,0.5,300,7
368,qparsr,0.5,300,8
369,qparsr,0.5,300,9
370,qparsr,0.5,1000,0
371,qparsr,0.5,1000,1
372,qparsr,0.5,1000,2
373,qparsr,0.5,1000,3
374,qparsr,0.5,1000,4
375,qparsr,0.5,1000,5
376,qparsr,0.5,1000,6
377,qparsr,0.5,1000,7
378,qparsr,0.5,1000,8
379,qparsr,0.5,1000,9
380,qparsr,0.5,3000,0
381,qparsr,0.5,3000,1
382,qparsr,0.5,3000,2
383,qparsr,0.5,3000,3
384,qparsr,0.5,3000,4
385,qparsr,0.5,3000,5
386,qparsr,0.5,3000,6
387,qparsr,0.5,3000,7
388,qparsr,0.5,3000,8
389,qparsr,0.5,3000,9
390,qparsr,0.5,10000,0
391,qparsr,0.5,10000,1
392,qparsr,0.5,10000,2
393,qparsr,0.5,10000,3
394,qparsr,0.5,10000,4
395,qparsr,0.5,10000,5
396,qparsr,0.5,10000,6
397,qparsr,0.5,10000,7
398,qparsr,0.5,10000,8
399,qparsr,0.5,10000,9
400,qparsr,0.7,100,0
401,qparsr,0.7,100,1
402,qparsr,0.7,100,2
403,qparsr,0.7,100,3
404,qparsr,0.7,100,4
405,qparsr,0.7,100,5
406,qparsr,0.7,100,6
407,qparsr,0.7,100,7
408,qparsr,0.7,100,8
409,qparsr,0.7,100,9
410,qparsr,0.7,300,0
411,qparsr,0.7,300,1
412,qparsr,0.7,300,2
413,qparsr,0.7,300,3
414,qparsr,0.7,300,4
415,qparsr,0.7,300,5
416,qparsr,0.7,300,6
417,qparsr,0.7,300,7
418,qparsr,0.7,300,8
419,qparsr,0.7,300,9
420,qparsr,0.7,1000,0
421,qparsr,0.7,1000,1
422,qparsr,0.7,1000,2
423,qparsr,0.7,1000,3
424,qparsr,0.7,1000,4
425,qparsr,0.7,1000,5
426,qparsr,0.7,1000,6
427,qparsr,0.7,1000,7
428,qparsr,0.7,1000,8
429,qparsr,0.7,1000,9
430,qparsr,0.7,3000,0
431,qparsr,0.7,3000,1
432,qparsr,0.7,3000,2
433,qparsr,0.7,3000,3
434,qparsr,0.7,3000,4
435,qparsr,0.7,3000,5
436,qparsr,0.7,3000,6
437,qparsr,0.7,3000,7
438,qparsr,0.7,3000,8
439,qparsr,0.7,3000,9
440,qparsr,0.7,10000,0
441,qparsr,0.7,10000,1
